ArraySize,DataType,AvgTimeMs,AvgComparisons
100,Random,0.07848,8473
100,Reverse,0.12126,13467
100,AlmostSorted,0.12536,15160
200,Random,0.1878,22082
200,Reverse,0.24638,27483
200,AlmostSorted,0.24664,29067
300,Random,0.31292,36654
300,Reverse,0.35378,41061
300,AlmostSorted,0.35436,42980
400,Random,0.43254,51657
400,Reverse,0.49392,55397
400,AlmostSorted,0.48024,56706
500,Random,0.57552,67934
500,Reverse,0.62296,69405
500,AlmostSorted,0.60386,70660
600,Random,0.6872,80329
600,Reverse,0.83484,82812
600,AlmostSorted,0.72218,85170
700,Random,0.84358,97793
700,Reverse,0.86714,94758
700,AlmostSorted,0.98994,99279
800,Random,0.9869,114677
800,Reverse,1.03188,110743
800,AlmostSorted,0.97822,112323
900,Random,1.15184,130589
900,Reverse,1.09826,123194
900,AlmostSorted,1.05924,127157
1000,Random,1.28872,143073
1000,Reverse,1.22292,138105
1000,AlmostSorted,1.27896,140758
1100,Random,1.40508,161651
1100,Reverse,1.32354,151715
1100,AlmostSorted,1.32216,154349
1200,Random,1.5396,176111
1200,Reverse,1.4529,165645
1200,AlmostSorted,1.46286,169357
1300,Random,1.62174,188949
1300,Reverse,1.55182,178282
1300,AlmostSorted,1.49014,183343
1400,Random,1.81312,211044
1400,Reverse,1.69322,191253
1400,AlmostSorted,1.59748,197759
1500,Random,1.90188,225035
1500,Reverse,1.71848,202973
1500,AlmostSorted,1.68974,214241
1600,Random,1.95586,241652
1600,Reverse,1.77432,215995
1600,AlmostSorted,1.83772,228137
1700,Random,2.1335,264099
1700,Reverse,2.09202,231069
1700,AlmostSorted,1.92548,240387
1800,Random,2.36896,280547
1800,Reverse,2.08982,245112
1800,AlmostSorted,2.1024,254534
1900,Random,2.49834,289192
1900,Reverse,2.23894,257951
1900,AlmostSorted,2.1937,266975
2000,Random,2.65258,303616
2000,Reverse,2.34286,274098
2000,AlmostSorted,2.3227,283043
2100,Random,2.70012,318588
2100,Reverse,2.40882,289174
2100,AlmostSorted,2.3641,298742
2200,Random,2.98098,333932
2200,Reverse,2.67304,302076
2200,AlmostSorted,2.61742,314282
2300,Random,3.09376,349197
2300,Reverse,2.77742,315918
2300,AlmostSorted,2.78366,329572
2400,Random,3.2133,361293
2400,Reverse,2.90234,330105
2400,AlmostSorted,2.78066,343678
2500,Random,3.42586,381645
2500,Reverse,2.90124,343160
2500,AlmostSorted,2.94698,359904
2600,Random,3.48092,397347
2600,Reverse,3.15768,356527
2600,AlmostSorted,3.3374,374020
2700,Random,3.73672,411815
2700,Reverse,3.37276,371184
2700,AlmostSorted,3.27836,387134
2800,Random,3.71966,427599
2800,Reverse,3.52926,385530
2800,AlmostSorted,3.25192,402062
2900,Random,3.78438,444079
2900,Reverse,3.59252,398029
2900,AlmostSorted,3.55534,416971
3000,Random,4.30666,468835
3000,Reverse,3.79708,411809
3000,AlmostSorted,3.7814,429543
