ArraySize,DataType,AvgTimeMs,AvgComparisons
100,Random,0.13212,0
100,Reverse,0.11138,0
100,AlmostSorted,0.12802,0
200,Random,0.30076,0
200,Reverse,0.23074,0
200,AlmostSorted,0.2372,0
300,Random,0.39622,0
300,Reverse,0.32646,0
300,AlmostSorted,0.2927,0
400,Random,0.46028,0
400,Reverse,0.44422,0
400,AlmostSorted,0.39638,0
500,Random,0.4985,0
500,Reverse,0.561,0
500,AlmostSorted,0.4983,0
600,Random,0.56436,0
600,Reverse,0.69078,0
600,AlmostSorted,0.62626,0
700,Random,0.65908,0
700,Reverse,0.80428,0
700,AlmostSorted,0.72368,0
800,Random,0.75244,0
800,Reverse,0.94678,0
800,AlmostSorted,0.84064,0
900,Random,0.83866,0
900,Reverse,1.04704,0
900,AlmostSorted,0.97776,0
1000,Random,0.89818,0
1000,Reverse,1.18546,0
1000,AlmostSorted,1.0657,0
1100,Random,1.00964,0
1100,Reverse,1.22062,0
1100,AlmostSorted,1.19898,0
1200,Random,1.09454,0
1200,Reverse,1.34706,0
1200,AlmostSorted,1.2459,0
1300,Random,1.172,0
1300,Reverse,1.43598,0
1300,AlmostSorted,1.33206,0
1400,Random,1.28812,0
1400,Reverse,1.56378,0
1400,AlmostSorted,1.43616,0
1500,Random,1.3557,0
1500,Reverse,1.64352,0
1500,AlmostSorted,1.51208,0
1600,Random,1.44396,0
1600,Reverse,1.65562,0
1600,AlmostSorted,1.5591,0
1700,Random,1.49184,0
1700,Reverse,1.82388,0
1700,AlmostSorted,1.7639,0
1800,Random,1.70978,0
1800,Reverse,2.01406,0
1800,AlmostSorted,1.85176,0
1900,Random,1.81694,0
1900,Reverse,2.09606,0
1900,AlmostSorted,1.96292,0
2000,Random,1.97908,0
2000,Reverse,2.2304,0
2000,AlmostSorted,2.0605,0
2100,Random,2.08576,0
2100,Reverse,2.27796,0
2100,AlmostSorted,2.07064,0
2200,Random,2.11754,0
2200,Reverse,2.31496,0
2200,AlmostSorted,2.1544,0
2300,Random,2.31576,0
2300,Reverse,2.58882,0
2300,AlmostSorted,2.45796,0
2400,Random,2.63126,0
2400,Reverse,2.74994,0
2400,AlmostSorted,2.57092,0
2500,Random,2.73866,0
2500,Reverse,2.82914,0
2500,AlmostSorted,2.5928,0
2600,Random,2.78502,0
2600,Reverse,2.86152,0
2600,AlmostSorted,2.58886,0
2700,Random,2.82808,0
2700,Reverse,2.84478,0
2700,AlmostSorted,2.87416,0
2800,Random,3.13324,0
2800,Reverse,3.10264,0
2800,AlmostSorted,2.9946,0
2900,Random,3.33654,0
2900,Reverse,3.36148,0
2900,AlmostSorted,3.198,0
3000,Random,3.53336,0
3000,Reverse,3.33022,0
3000,AlmostSorted,3.04438,0
