ArraySize,DataType,AvgTimeMs,AvgComparisons
100,Random,0.1697,611
100,Reverse,0.16842,612
100,AlmostSorted,0.14674,679
200,Random,0.44508,1493
200,Reverse,0.34208,1314
200,AlmostSorted,0.46624,1477
300,Random,0.87846,2524
300,Reverse,0.53454,2021
300,AlmostSorted,0.66368,2335
400,Random,0.77738,3659
400,Reverse,0.77414,2882
400,AlmostSorted,0.7207,3186
500,Random,1.12036,4855
500,Reverse,1.02694,3780
500,AlmostSorted,1.0143,3920
600,Random,1.3735,6115
600,Reverse,1.42058,4413
600,AlmostSorted,1.21092,4968
700,Random,1.66692,7441
700,Reverse,1.73518,5250
700,AlmostSorted,1.27116,5939
800,Random,1.67396,8788
800,Reverse,1.59746,6133
800,AlmostSorted,1.54744,6766
900,Random,1.97544,10179
900,Reverse,1.85362,7033
900,AlmostSorted,1.7616,7586
1000,Random,2.39538,11596
1000,Reverse,2.13154,8039
1000,AlmostSorted,1.89318,8260
1100,Random,2.78302,13065
1100,Reverse,2.52522,8760
1100,AlmostSorted,2.138,9375
1200,Random,3.8415,14553
1200,Reverse,2.61272,9541
1200,AlmostSorted,2.2669,10515
1300,Random,3.0447,16050
1300,Reverse,3.07504,10359
1300,AlmostSorted,2.84172,11517
1400,Random,4.49958,17622
1400,Reverse,3.78714,11220
1400,AlmostSorted,3.2764,12581
1500,Random,4.47894,19151
1500,Reverse,4.0512,12329
1500,AlmostSorted,2.96778,13393
1600,Random,3.66196,20719
1600,Reverse,5.01454,13077
1600,AlmostSorted,3.37616,14346
1700,Random,4.06938,22345
1700,Reverse,3.75502,13951
1700,AlmostSorted,3.36658,15222
1800,Random,4.16362,23963
1800,Reverse,3.717,14982
1800,AlmostSorted,3.41006,16031
1900,Random,4.28268,25535
1900,Reverse,3.99684,15979
1900,AlmostSorted,3.6109,16802
2000,Random,4.58368,27159
2000,Reverse,4.21254,17091
2000,AlmostSorted,3.96152,17505
2100,Random,4.8053,28855
2100,Reverse,4.4354,17942
2100,AlmostSorted,4.0854,18591
2200,Random,5.09382,30581
2200,Reverse,4.69804,18579
2200,AlmostSorted,4.35836,19936
2300,Random,5.44268,32252
2300,Reverse,5.1081,19474
2300,AlmostSorted,4.72098,20985
2400,Random,5.5723,33959
2400,Reverse,5.1093,20310
2400,AlmostSorted,4.5569,22233
2500,Random,5.87422,35664
2500,Reverse,5.45836,21092
2500,AlmostSorted,4.99272,23224
2600,Random,6.26724,37373
2600,Reverse,5.64312,22085
2600,AlmostSorted,5.08096,24305
2700,Random,6.21014,39148
2700,Reverse,5.97224,22863
2700,AlmostSorted,5.90368,25399
2800,Random,7.8898,40975
2800,Reverse,6.3296,23825
2800,AlmostSorted,5.7166,26372
2900,Random,6.86026,42759
2900,Reverse,6.43542,24767
2900,AlmostSorted,6.0568,27451
3000,Random,7.3675,44423
3000,Reverse,6.41088,25871
3000,AlmostSorted,5.71326,28237
