ArraySize,DataType,AvgTimeMs,AvgComparisons
100,Random,0.01798,573
100,Reverse,0.08538,4950
100,AlmostSorted,0.09172,4692
200,Random,0.04268,1430
200,Reverse,0.30328,19900
200,AlmostSorted,0.35102,18757
300,Random,0.08874,2480
300,Reverse,0.64998,44850
300,AlmostSorted,0.78224,43431
400,Random,0.10134,3683
400,Reverse,1.15546,79800
400,AlmostSorted,1.4158,75860
500,Random,0.13312,4832
500,Reverse,1.86586,124750
500,AlmostSorted,2.13108,117746
600,Random,0.16626,6094
600,Reverse,2.60804,179700
600,AlmostSorted,2.8572,169323
700,Random,0.18174,7061
700,Reverse,3.26286,244650
700,AlmostSorted,3.65864,231080
800,Random,0.20606,7899
800,Reverse,4.35078,319600
800,AlmostSorted,5.23802,300797
900,Random,0.24136,9719
900,Reverse,5.46768,404550
900,AlmostSorted,6.46154,379810
1000,Random,0.2708,10266
1000,Reverse,7.01932,499500
1000,AlmostSorted,8.21856,470016
1100,Random,0.30458,11914
1100,Reverse,8.35176,604450
1100,AlmostSorted,9.27496,570775
1200,Random,0.33526,12985
1200,Reverse,10.0397,719400
1200,AlmostSorted,11.7068,678861
1300,Random,0.37576,14462
1300,Reverse,11.2663,844350
1300,AlmostSorted,14.3359,798873
1400,Random,0.5722,16054
1400,Reverse,14.5893,979300
1400,AlmostSorted,15.2527,932501
1500,Random,0.41266,17166
1500,Reverse,14.9374,1124250
1500,AlmostSorted,18.1462,1073132
1600,Random,0.43208,19049
1600,Reverse,16.5206,1279200
1600,AlmostSorted,20.1357,1218657
1700,Random,0.50332,19991
1700,Reverse,18.6173,1444150
1700,AlmostSorted,21.6651,1375387
1800,Random,0.58148,22238
1800,Reverse,21.8846,1619100
1800,AlmostSorted,25.921,1541687
1900,Random,0.58496,22329
1900,Reverse,26.6973,1804050
1900,AlmostSorted,29.3706,1713772
2000,Random,0.62878,25905
2000,Reverse,26.0533,1999000
2000,AlmostSorted,31.3869,1899004
2100,Random,0.61316,25841
2100,Reverse,27.8635,2203950
2100,AlmostSorted,34.3682,2091629
2200,Random,0.6495,26852
2200,Reverse,33.0619,2418900
2200,AlmostSorted,42.1413,2300142
2300,Random,0.6766,27249
2300,Reverse,33.6325,2643850
2300,AlmostSorted,42.7794,2516152
2400,Random,0.70836,28224
2400,Reverse,38.2178,2878800
2400,AlmostSorted,46.5359,2732417
2500,Random,0.8561,32168
2500,Reverse,43.7491,3123750
2500,AlmostSorted,52.3236,2967532
2600,Random,0.89402,38336
2600,Reverse,44.1232,3378700
2600,AlmostSorted,61.9867,3217397
2700,Random,0.90276,31947
2700,Reverse,52.7316,3643650
2700,AlmostSorted,59.543,3471736
2800,Random,0.8356,35572
2800,Reverse,52.3262,3918600
2800,AlmostSorted,61.7075,3735751
2900,Random,0.84282,38196
2900,Reverse,59.7272,4203550
2900,AlmostSorted,66.9159,4012184
3000,Random,0.91622,39404
3000,Reverse,59.7671,4498500
3000,AlmostSorted,74.0133,4295297
