ArraySize,DataType,AvgTimeMs,AvgComparisons
100,Random,0.14742,614
100,Reverse,0.14048,589
100,AlmostSorted,0.14252,674
200,Random,0.32486,1495
200,Reverse,0.29576,1309
200,AlmostSorted,0.28472,1479
300,Random,0.49458,2516
300,Reverse,0.53066,2051
300,AlmostSorted,0.46292,2344
400,Random,0.69712,3646
400,Reverse,0.63774,2843
400,AlmostSorted,0.61678,3173
500,Random,0.91016,4834
500,Reverse,0.79184,3752
500,AlmostSorted,0.79256,3890
600,Random,1.05162,6109
600,Reverse,1.00886,4430
600,AlmostSorted,0.92488,4968
700,Random,1.26018,7370
700,Reverse,1.1348,5235
700,AlmostSorted,1.1715,5855
800,Random,1.44184,8745
800,Reverse,1.29376,6197
800,AlmostSorted,1.2005,6750
900,Random,1.63734,10144
900,Reverse,1.567,7078
900,AlmostSorted,1.52,7560
1000,Random,1.94576,11561
1000,Reverse,1.79634,8063
1000,AlmostSorted,1.78356,8298
1100,Random,2.2609,12988
1100,Reverse,2.04938,8774
1100,AlmostSorted,1.94106,9356
1200,Random,2.92046,14512
1200,Reverse,2.3304,9508
1200,AlmostSorted,2.18562,10493
1300,Random,2.77584,16037
1300,Reverse,2.44718,10400
1300,AlmostSorted,2.28902,11639
1400,Random,2.67288,17511
1400,Reverse,2.4005,11192
1400,AlmostSorted,2.50702,12529
1500,Random,3.1089,19128
1500,Reverse,2.86172,12167
1500,AlmostSorted,2.77132,13341
1600,Random,3.32046,20707
1600,Reverse,3.03274,13125
1600,AlmostSorted,2.9703,14313
1700,Random,3.59926,22312
1700,Reverse,3.09984,13906
1700,AlmostSorted,2.93048,15316
1800,Random,3.61932,23910
1800,Reverse,3.27232,15008
1800,AlmostSorted,3.33222,15983
1900,Random,4.19428,25565
1900,Reverse,3.7275,15977
1900,AlmostSorted,3.6027,16864
2000,Random,4.59426,27177
2000,Reverse,4.1228,17067
2000,AlmostSorted,3.7831,17535
2100,Random,4.4753,28853
2100,Reverse,4.01694,18027
2100,AlmostSorted,4.12552,18638
2200,Random,5.07064,30455
2200,Reverse,4.56358,18545
2200,AlmostSorted,4.48158,19852
2300,Random,5.26906,32172
2300,Reverse,5.16002,19435
2300,AlmostSorted,4.83312,20907
2400,Random,5.89174,33971
2400,Reverse,5.82128,20165
2400,AlmostSorted,5.24232,22130
2500,Random,6.05932,35674
2500,Reverse,5.484,21090
2500,AlmostSorted,5.00956,23373
2600,Random,6.2466,37412
2600,Reverse,5.74248,21985
2600,AlmostSorted,5.40756,24582
2700,Random,6.78206,39079
2700,Reverse,7.03348,22807
2700,AlmostSorted,5.80292,25580
2800,Random,6.66962,40847
2800,Reverse,5.91266,23700
2800,AlmostSorted,5.70276,26423
2900,Random,7.29356,42627
2900,Reverse,6.76884,24784
2900,AlmostSorted,5.98582,27353
3000,Random,7.14198,44483
3000,Reverse,6.39718,25845
3000,AlmostSorted,6.26114,28132
